index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12
Steeldriver;34;25;Great Maul;Reduce Req %;;-50;-50;Attack Speed %;;40;40;regen-stam;;25;25;Damage %;;150;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rixots Keen;3;2;Short Sword;dmg-min;;5;5;Attack Bonus %;;20;20;Light Radius;;2;2;Crushing Blow;;25;25;Armor Class;;25;25;Damage %;;100;100;;;;;;;;;;;;;;;;;;;;;;;;
Blood Crescent;9;6;Scimitar;All Resists;;15;15;Damage %;;60;80;Hitpoints;;15;15;Light Radius;;4;4;Openwounds;;33;33;Attack Speed %;;15;15;Lifesteal;;15;15;;;;;;;;;;;;;;;;;;;;
Krintizs Skewer;12;9;Saber;Ignore Armor;;1;1;Strength;;10;10;Dexterity;;10;10;Manasteal;;7;7;Damage %;;50;50;dmg-norm;;3;7;;;;;;;;;;;;;;;;;;;;;;;;
Gleamscythe;15;11;Falchion;Light Radius;;3;3;Mana Points;;30;30;Armor Class;;20;20;Attack Speed %;;20;20;Damage %;;60;100;dmg-cold;50;3;5;;;;;;;;;;;;;;;;;;;;;;;;
Azurewrath;15;11;Crystal Sword;Deadly Strike;;50;50;Magic Find %;;10;10;dmg-cold;100;3;6;Damage %;;100;100;Extra Durability;;25;25;dmg-mag;;5;10;;;;;;;;;;;;;;;;;;;;;;;;
Griswolds Edge;20;14;Broad Sword;fire-min;;10;12;fire-max;;15;25;Attack Rating;;100;100;Attack Speed %;;10;10;Knockback;;1;1;Damage %;;80;120;Strength;;12;12;;;;;;;;;;;;;;;;;;;;
Hellplague;26;19;Long Sword;Manasteal;;5;5;Lifesteal;;5;5;pois-min;;48;48;pois-max;;96;96;pois-len;;150;150;Damage %;;70;80;dmg-fire;;25;75;fireskill;;2;2;;;;;;;;;;;;;;;;
Culwens Point;34;25;War Sword;All Skills;;1;1;res-pois-len;;50;50;Hit Recovery %;;20;20;Attack Speed %;;20;20;Attack Rating;;60;60;Damage %;;70;80;;;;;;;;;;;;;;;;;;;;;;;;
Shadowfang;14;10;2-Handed Sword;Manasteal;;9;9;res-cold;;20;20;Light Radius;;-2;-2;dmg-cold;150;10;30;Damage %;;100;100;Lifesteal;;9;9;;;;;;;;;;;;;;;;;;;;;;;;
Soulflay;23;16;Claymore;Manasteal;;4;10;Lifesteal;;4;4;Damage %;;70;100;All Resists;;5;5;Attack Speed %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kinemils Awl;27;20;Giant Sword;Attack Rating;;100;150;Mana Points;;20;20;fire-min;;6;6;fire-max;;20;40;Damage %;;80;100;Class Skill;102;6;6;;;;;;;;;;;;;;;;;;;;;;;;
Blacktongue;31;23;Bastard Sword;dmg-pois;150;192;192;Prevent Heal;;1;1;Attack Rating;;50;50;res-pois;;50;50;Damage %;;50;60;*hp;;-10;-10;;;;;;;;;;;;;;;;;;;;;;;;
Ripsaw;31;23;Flamberge;Openwounds;;80;80;dmg-max;;15;15;Manasteal;;6;6;Damage %;;80;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Patriarch;34;25;Great Sword;Reduce Dmg;;3;3;red-mag;;3;3;Blind Target;;1;1;Gold Find %;;100;100;Damage %;;100;120;Strength;;10;10;;;;;;;;;;;;;;;;;;;;;;;;
Gull;5;3;Dagger;dmg-min;;1;1;dmg-max;;15;15;Magic Find %;;100;100;Mana Points;;-5;-5;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;
The Diggler;13;9;Dirk;Dexterity;;10;10;Damage %;;50;50;Attack Speed %;;30;30;res-cold;;25;25;res-fire;;25;25;Ignore Armor;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
The Jade Tan Do;23;16;Kris;Attack Rating;;100;150;nofreeze;;1;1;dmg-pois;100;460;460;res-pois;;95;95;res-pois-max;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irices Shard;30;22;Blade;Cast Speed %;;50;50;Mana Points;;50;50;Attack Rating;;55;55;All Resists;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Dragon Chang;9;7;Spear;Attack Rating;;35;35;dmg-min;;10;10;Light Radius;;2;2;Dmg % to Undead;;100;100;dmg-fire;;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Razortine;14;10;Trident;Slow Target %;;25;25;reduce-ac;;50;50;Strength;;15;15;Dexterity;;8;8;Attack Speed %;;30;30;Damage %;;30;50;;;;;;;;;;;;;;;;;;;;;;;;
Bloodthief;20;14;Brandistock;Openwounds;;35;35;Strength;;10;10;Lifesteal;;8;12;Hitpoints;;26;26;Damage %;;50;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lance of Yaggai;26;19;Spetum;Thorns;;8;8;ltng-min;;1;1;ltng-max;;60;60;All Resists;;15;15;Attack Speed %;;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Tannr Gorerod;32;24;Pike;fire-min;;23;23;fire-max;;54;54;res-fire-max;;15;15;Hitpoints;;30;30;Attack Rating;;60;60;Light Radius;;3;3;res-fire;;15;15;Damage %;;80;100;;;;;;;;;;;;;;;;
Dimoaks Hew;9;7;Bardiche;Dexterity;;15;15;Damage %;;100;100;Attack Speed %;;20;20;Armor Class;;-8;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steelgoad;16;12;Voulge;howl;;96;96;Deadly Strike;;30;30;Attack Rating;;30;30;All Resists;;5;5;Damage %;;60;80;Extra Durability;;20;40;;;;;;;;;;;;;;;;;;;;;;;;
Soul Harvest;23;16;Scythe;Openwounds;;30;30;Attack Rating;;45;45;All Resists;;20;20;Damage %;;50;90;Manasteal;;10;10;Energy;;5;5;;;;;;;;;;;;;;;;;;;;;;;;
The Battlebranch;30;22;Poleaxe;Attack Speed %;;30;30;Dexterity;;10;10;Damage %;;50;70;Attack Rating;;50;100;Lifesteal;;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Woestave;33;25;Halberd;Slow Target %;;50;50;Openwounds;;50;50;Blind Target;;3;3;dmg-ac;;-50;-50;Freeze Duration;;1;1;Light Radius;;-3;-3;Prevent Heal;;1;1;Damage %;;20;40;*enr;;-30;-30;;;;;;;;;;;;
The Grim Reaper;34;25;War Scythe;Deadly Strike;;100;100;Prevent Heal;;1;1;Manasteal;;5;5;Damage %;;20;20;dmg-min;;15;15;*hp;;-20;-20;;;;;;;;;;;;;;;;;;;;;;;;
Bane Ash;6;4;Short Staff;fire-min;;4;4;fire-max;;6;6;res-fire;;50;50;Mana Points;;30;30;Attack Speed %;;20;20;Damage %;;50;60;Class Skill;36;5;5;Class Skill;37;2;2;;;;;;;;;;;;;;;;
Serpent Lord;10;8;Long Staff;dmg-pois;75;40;40;res-pois;;50;50;Light Radius;;-1;-1;Mana Points;;10;10;Damage %;;30;40;Manasteal;;100;100;reduce-ac;;50;50;;;;;;;;;;;;;;;;;;;;
Lazarus Spire;21;15;Gnarled Staff;res-ltng;;75;75;Reduce Dmg;;5;5;Energy;;15;15;Class Skill;53;1;1;Class Skill;49;2;2;Class Skill;42;3;3;regen-mana;;43;43;dmg-ltng;;1;28;Sorceress Skills;;1;1;;;;;;;;;;;;
The Salamander;25;18;Battle Staff;dmg-fire;;15;32;res-fire;;30;30;Class Skill;51;1;1;Class Skill;47;2;2;Class Skill;37;3;3;fireskill;;2;2;;;;;;;;;;;;;;;;;;;;;;;;
The Iron Jang Bong;33;25;War Staff;Armor Class;;30;30;Cast Speed %;;20;20;Damage %;;100;100;Attack Bonus %;;50;50;Class Skill;48;2;2;Class Skill;46;2;2;Class Skill;44;3;3;Sorceress Skills;;2;2;;;;;;;;;;;;;;;;
Pluckeye;9;6;Short Bow;Attack Rating;;28;28;Damage %;;100;100;Hitpoints;;10;10;Light Radius;;2;2;Manasteal;;3;3;Mana per Kill;;2;2;;;;;;;;;;;;;;;;;;;;;;;;
Witherstring;15;11;Hunter’s Bow;Attack Speed %;;30;30;dmg-min;;1;1;dmg-max;;3;3;Attack Rating;;50;50;magicarrow;;3;3;Damage %;;40;50;;;;;;;;;;;;;;;;;;;;;;;;
Rimeraven;17;13;Long Bow;Attack Bonus %;;50;50;Dexterity;;3;3;explosivearrow;;3;3;Strength;;3;3;Damage %;;60;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piercerib;24;17;Composite Bow;All Resists;;10;10;Deadly Strike;;30;30;Attack Rating;;60;60;Dmg % to Undead;;100;100;Damage %;;40;60;Attack Speed %;;50;50;;;;;;;;;;;;;;;;;;;;;;;;
Pullspite;30;22;Short Battle Bow;dmg-ltng;;1;30;Strength;;8;8;Attack Rating;;28;28;pierce;;25;25;res-ltng;;25;25;Damage %;;70;90;;;;;;;;;;;;;;;;;;;;;;;;
Wizendraw;31;23;Long Battle Bow;magicarrow;;5;5;Mana Points;;30;30;Attack Speed %;;20;20;res-cold;;26;26;Attack Rating;;50;100;Damage %;;70;80;Energy;;15;15;pierce-cold;;20;35;;;;;;;;;;;;;;;;
Hellclap;32;24;Short War Bow;Attack Speed %;;10;10;fire-min;;15;15;fire-max;;30;50;Attack Rating;;50;75;res-fire;;40;40;Dexterity;;12;12;Damage %;;70;90;fireskill;;1;1;;;;;;;;;;;;;;;;
Blastbark;33;25;Long War Bow;Damage %;;70;130;Strength;;5;5;Amazon Skills;;1;1;Manasteal;;3;3;Class Skill;16;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leadcrow;10;8;Light Crossbow;Dexterity;;10;10;Hitpoints;;10;10;Damage %;;70;70;res-pois;;30;30;Deadly Strike;;25;25;Attack Rating;;40;40;;;;;;;;;;;;;;;;;;;;;;;;
Ichorsting;21;15;Crossbow;dmg-pois;75;102;102;Dexterity;;20;20;pierce;;50;50;Attack Rating;;50;50;Damage %;;50;50;Attack Speed %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;
Hellcast;32;24;Heavy Crossbow;explosivearrow;;5;5;res-fire-max;;15;15;res-fire;;15;15;Attack Rating;;70;70;Attack Speed %;;20;20;Damage %;;70;80;dmg-fire;;15;35;;;;;;;;;;;;;;;;;;;;
Doomspittle;33;25;Repeating Crossbow;Amazon Skills;;1;1;pierce;;35;35;Attack Speed %;;30;30;Hitpoints;;15;15;Damage %;;60;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
War Bonnet;3;3;Cap;Hitpoints;;15;15;Attack Rating;;30;30;Damage %;;30;30;Mana Points;;15;15;Armor Class;;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarnhelm;17;13;Skull Cap;Gold Find %;;75;75;Magic Find %;;25;50;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coif of Glory;16;12;Helm;Lightning Thorns;;7;7;Blind Target;;1;1;res-ltng;;15;15;Armor vs Missile;;100;100;Armor Class;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duskdeep;20;14;Full Helm;Light Radius;;-2;-2;All Resists;;15;15;Reduce Dmg;;7;7;dmg-max;;8;8;Armor Class;;10;20;Armor Class %;;30;50;;;;;;;;;;;;;;;;;;;;;;;;
Wormskull;25;18;Bone Helm;Necro Skills;;1;1;Lifesteal;;5;5;Mana Points;;10;10;res-pois;;25;25;dmg-pois;200;102;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Howltusk;30;22;Great Helm;red-mag;;2;2;Thorns;;3;3;Armor Class %;;80;80;dmg-to-mana;;35;35;Knockback;;1;1;howl;;33;33;;;;;;;;;;;;;;;;;;;;;;;;
Undead Crown;34;25;Crown;Lifesteal;;5;5;Armor Class;;40;40;res-pois;;50;50;half-freeze;;1;1;Armor Class %;;30;60;Dmg % to Undead;;50;50;att-undead;;50;100;Class Skill;69;3;3;;;;;;;;;;;;;;;;
The Face of Horror;24;17;Mask;howl;;64;64;Strength;;20;20;All Resists;;10;10;Dmg % to Undead;;50;50;Armor Class;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greyform;9;6;Quilted Armor;red-mag;;3;3;res-cold;;20;20;res-fire;;20;20;Dexterity;;10;10;Lifesteal;;5;5;Armor Class;;20;20;;;;;;;;;;;;;;;;;;;;;;;;
Blinkbats Form;14;10;Leather Armor;Armor vs Missile;;50;50;Faster Movement %;;10;10;Armor Class;;25;25;fire-min;;3;3;fire-max;;6;6;Hit Recovery %;;40;40;;;;;;;;;;;;;;;;;;;;;;;;
The Centurion;16;12;Hard Leather;Armor Class;;30;30;Attack Rating;;50;50;Reduce Dmg;;2;2;Hitpoints;;15;15;Mana Points;;15;15;Stamina Points;;15;15;Replenish Life;;5;5;stamdrain;;25;25;;;;;;;;;;;;;;;;
Twitchthroe;19;14;Studded Leather;Attack Speed %;;20;20;Dexterity;;10;10;block;;25;25;Armor Class;;25;25;Strength;;10;10;Hit Recovery %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;
Darkglow;16;12;Ring Mail;Attack Rating;;20;20;res-all-max;;5;5;Light Radius;;3;3;Armor vs Melee;;50;50;All Resists;;10;10;Armor Class %;;70;100;;;;;;;;;;;;;;;;;;;;;;;;
Hawkmail;17;13;Scale Mail;Armor Class %;;80;100;res-cold-max;;15;15;res-cold;;15;15;nofreeze;;1;1;Faster Movement %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sparking Mail;20;14;Chain Mail;Armor Class %;;75;85;dmg-ltng;;1;20;Lightning Thorns;;10;14;res-ltng;;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Venomsward;24;17;Breast Plate;res-pois-max;;15;15;res-pois-len;;50;50;res-pois;;90;90;Light Radius;;2;2;Armor Class %;;60;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iceblink;26;19;Splint Mail;Freeze Duration;;1;1;res-cold;;30;30;Light Radius;;4;4;red-mag;;1;1;Armor Class %;;70;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boneflesh;31;23;Plate Mail;Lifesteal;;5;5;Armor Class %;;100;120;Attack Rating;;35;35;Openwounds;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rockfleece;33;25;Field Plate;Reduce Req %;;-10;-10;Armor Class %;;100;130;Reduce Dmg %;;10;10;Reduce Dmg;;5;5;Strength;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rattlecage;34;25;Gothic Plate;howl;;52;52;Attack Rating;;45;45;Crushing Blow;;25;25;Armor Class;;200;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goldskin;33;25;Full Plate Mail;Armor Class %;;120;150;All Resists;;35;35;Thorns;;10;10;Light Radius;;2;2;Gold Find %;;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Victors Silk;33;25;AncientArmor;Manasteal;;5;5;All Skills;;1;1;Light Radius;;2;2;Armor Class %;;100;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heavenly Garb;34;25;Light Plate;Armor Class %;;100;100;All Resists;;10;10;regen-mana;;25;25;Energy;;15;15;Dmg % to Undead;;50;50;att-undead;;100;100;;;;;;;;;;;;;;;;;;;;;;;;
Pelta Lunata;3;2;Buckler;Armor Class;;30;30;Vitality;;10;10;Strength;;2;2;Energy;;10;10;Armor Class %;;30;40;block;;20;20;block2;;40;40;Extra Durability;;8;12;;;;;;;;;;;;;;;;
Umbral Disk;10;8;Small Shield;Blind Target;;1;1;Dexterity;;10;10;Armor Class;;30;30;Hitpoints;;20;20;Light Radius;;-2;-2;Armor Class %;;40;50;block;;30;30;Extra Durability;;10;15;;;;;;;;;;;;;;;;
Stormguild;15;11;Large Shield;red-mag;;1;1;res-ltng;;25;25;Armor Class;;30;30;dmg-ltng;;1;6;Armor Class %;;50;60;block;;30;30;Lightning Thorns;;3;3;Extra Durability;;10;15;;;;;;;;;;;;;;;;
Wall of the Eyeless;24;17;Bone Shield;Mana per Kill;;5;5;Manasteal;;3;3;Cast Speed %;;20;20;res-pois;;20;20;Armor Class %;;30;40;Armor Class;;10;10;;;;;;;;;;;;;;;;;;;;;;;;
Swordback Hold;17;13;Spiked Shield;Thorns;;5;5;block;;20;20;Openwounds;;50;50;bloody;;3;5;Armor Class %;;30;60;Thorns;;5;5;Armor Class;;10;10;;;;;;;;;;;;;;;;;;;;
Steelclash;20;14;Kite Shield;block;;25;25;Paladin Skills;;1;1;Reduce Dmg;;3;3;Light Radius;;3;3;Armor Class %;;60;100;block2;;20;20;All Resists;;15;15;Armor Class;;20;20;Extra Durability;;15;20;;;;;;;;;;;;
Bverrit Keep;23;16;Tower Shield;Armor Class;;30;30;res-fire;;75;75;Strength;;5;5;red-mag;;5;5;Armor Class %;;80;120;block;;10;10;Extra Durability;;80;100;;;;;;;;;;;;;;;;;;;;
The Ward;31;23;Gothic Shield;Armor Class;;40;40;red-mag;;2;2;Strength;;10;10;block;;10;10;Armor Class %;;100;100;All Resists;;30;50;;;;;;;;;;;;;;;;;;;;;;;;
The Hand of Broc;6;4;Leather Gloves;Manasteal;;3;3;Lifesteal;;3;3;res-pois;;10;10;Mana Points;;20;20;Armor Class;;10;10;Armor Class %;;10;20;;;;;;;;;;;;;;;;;;;;;;;;
Bloodfist;10;8;Heavy Gloves;dmg-min;;5;5;Hitpoints;;40;40;Hit Recovery %;;30;30;Armor Class;;10;10;Armor Class %;;10;20;Attack Speed %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;
Chance Guards;17;13;Chain Gloves;Gold Find %;;200;200;Magic Find %;;25;40;Attack Rating;;25;25;Armor Class;;15;15;Light Radius;;2;2;Armor Class %;;20;30;;;;;;;;;;;;;;;;;;;;;;;;
Magefist;27;20;Light Gauntlets;Cast Speed %;;20;20;regen-mana;;25;25;fireskill;;1;1;dmg-fire;;1;6;Armor Class;;10;10;Armor Class %;;20;30;;;;;;;;;;;;;;;;;;;;;;;;
Frostburn;27;24;Gauntlets;Armor Class;;30;30;Damage %;;5;5;Mana %;;40;40;dmg-cold;50;1;6;Armor Class %;;10;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hotspur;6;4;Leather Boots;res-fire-max;;15;15;Hitpoints;;15;15;dmg-fire;;3;6;Armor Class;;6;6;res-fire;;45;45;Armor Class %;;10;20;;;;;;;;;;;;;;;;;;;;;;;;
Gorefoot;10;8;Heavy Boots;bloody;;3;5;Faster Movement %;;20;20;Manasteal;;2;2;Thorns;;2;2;Armor Class;;12;12;Armor Class %;;20;30;Class Skill;132;2;2;;;;;;;;;;;;;;;;;;;;
Treads of Cthon;17;13;Chain Boots;Faster Movement %;;30;30;Armor vs Missile;;50;50;stamdrain;;50;50;Hitpoints;;10;10;Armor Class;;12;12;Armor Class %;;30;40;;;;;;;;;;;;;;;;;;;;;;;;
Goblin Toe;26;19;Light Plate Boots;Crushing Blow;;25;25;Reduce Dmg;;1;1;red-mag;;1;1;Armor Class;;15;15;Light Radius;;-1;-1;Armor Class %;;50;60;;;;;;;;;;;;;;;;;;;;;;;;
Tearhaunch;34;25;Plate Boots;Armor Class;;35;35;Strength;;5;5;Dexterity;;5;5;Faster Movement %;;20;20;All Resists;;10;10;Armor Class %;;60;80;Class Skill;115;2;2;;;;;;;;;;;;;;;;;;;;
Lenyms Cord;9;6;Sash;Mana Points;;15;15;regen-mana;;30;30;All Resists;;5;5;Light Radius;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snakecord;14;10;Light Belt;dmg-pois;75;40;40;res-pois;;25;25;Armor Class;;10;10;Armor Class %;;20;30;Replenish Life;;5;5;res-pois-len;;50;50;;;;;;;;;;;;;;;;;;;;;;;;
Nightsmoke;24;17;Belt;All Resists;;10;10;dmg-to-mana;;50;50;Mana Points;;20;20;Reduce Dmg;;2;2;Armor Class;;15;15;Armor Class %;;30;50;;;;;;;;;;;;;;;;;;;;;;;;
Goldwrap;32;24;Heavy Belt;Magic Find %;;30;30;Light Radius;;2;2;Armor Class;;25;25;Attack Speed %;;10;10;Armor Class %;;40;60;Gold Find %;;50;80;;;;;;;;;;;;;;;;;;;;;;;;
Bladebuckle;34;25;Girdle;Thorns;;8;8;Armor Class;;30;30;Reduce Dmg;;3;3;Strength;;5;5;Dexterity;;10;10;Armor Class %;;80;100;Hit Recovery %;;30;30;;;;;;;;;;;;;;;;;;;;
Nokozan Relic;12;9;Amulet;dmg-fire;;3;6;res-fire-max;;10;10;res-fire;;50;50;Light Radius;;3;3;Hit Recovery %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Eye of Etlich;17;13;Amulet;Armor vs Missile;;10;40;Light Radius;;1;5;All Skills;;1;1;Lifesteal;;3;7;cold-min;;1;2;cold-max;;3;5;cold-len;;50;250;;;;;;;;;;;;;;;;;;;;
The Mahim-Oak Curio;30;22;Amulet;Dexterity;;10;10;Strength;;10;10;Energy;;10;10;Vitality;;10;10;Armor Class;;10;10;Attack Bonus %;;10;10;All Resists;;10;10;Armor Class %;;10;10;;;;;;;;;;;;;;;;
Nagelring;9;6;Ring;red-mag;;3;3;Thorns;;3;3;Attack Rating;;50;75;Magic Find %;;15;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manald Heal;17;13;Ring;Manasteal;;4;7;Replenish Life;;5;8;Hitpoints;;20;20;regen-mana;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Stone of Jordan;34;25;Ring;Mana Points;;20;20;Mana %;;25;25;ltng-min;;1;1;All Skills;;1;1;ltng-max;;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amulet of the Viper;0;0;Amulet;Mana Points;;10;10;res-pois;;25;25;Hitpoints;;10;10;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;
KhalimFlail;0;0;Flail;ltng-min;;1;1;ltng-max;;20;20;Attack Speed %;;50;50;Attack Rating;;40;40;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;
