index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12;imagename
Azurewrath;15;11;Crystal Sword;Deadly Strike;;50;50;Magic Find %;;10;10;dmg-cold;100;3;6;Damage %;;100;100;Extra Durability;;25;25;dmg-mag;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;azurewrath
Azurewrath;80;79;phase blade;dmg-mag;;250;500;Damage %;;230;270;aura;Sanctuary;10;13;dmg-cold;250;250;500;Attack Speed %;;30;30;all-stats;;5;10;Light Radius;;3;3;All Skills;;1;1;;;;;;;;;;;;;;;;;azurewrath
Baezil's Vortex;49;42;Knout;Hit-Skill;48;5;8;dmg-ltng;;1;150;Mana Points;;100;100;res-ltng;;25;25;Damage %;;160;200;Attack Speed %;;20;20;Charges;48;80;15;;;;;;;;;;;;;;;;;;;;;baezilsvortex
Baranar's Star;65;60;Devil Star;Attack Bonus %;;200;200;Damage %;;200;200;Dexterity;;15;15;Strength;;15;15;Attack Speed %;;50;50;Extra Durability;;100;100;dmg-ltng;;1;200;dmg-fire;;1;200;dmg-cold;;1;200;;;;;;;;;;;;;baranars
Bartuc's Cutthroat;46;39;Runic Talons;Assassin Skills;;2;2;Class Skill Tab;20;1;1;Damage %;;150;200;Hit Recovery %;;30;30;Attack Bonus %;;20;20;Strength;;20;20;Dexterity;;20;20;Lifesteal;;5;9;dmg-norm;;25;50;;;;;;;;;;;;;bartucs
The Battlebranch;30;22;Poleaxe;Attack Speed %;;30;30;Dexterity;;10;10;Damage %;;50;70;Attack Rating;;50;100;Lifesteal;;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;battlebranch
Biggon's Bonnet;3;3;Cap;Hitpoints;;15;15;Attack Rating;;30;30;Damage %;;30;30;Mana Points;;15;15;Armor Class;;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;biggons
Bing Sz Wang;47;40;Dacian Falx;Reduce Req %;;-30;-30;dmg-cold;75;50;140;Strength;;20;20;Freeze Duration;;2;2;Hit-Skill;64;5;3;Damage %;;130;160;;;;;;;;;;;;;;;;;;;;;;;;;bingszwang
Blackbog's Sharp;43;33;Cinquedeas;Slow Target %;;50;50;Armor Class;;50;50;dmg-norm;;15;45;Attack Speed %;;30;30;dmg-pois;250;500;500;Class Skill;73;5;5;Class Skill;83;4;4;Class Skill;92;4;4;;;;;;;;;;;;;;;;;blackbogssharp
Bladebuckle;34;25;Girdle;Thorns;;8;8;Armor Class;;30;30;Reduce Dmg;;3;3;Strength;;5;5;Dexterity;;10;10;Armor Class %;;80;100;Hit Recovery %;;30;30;;;;;;;;;;;;;;;;;;;;;bladebuckle
Black Hades;56;49;Chaos Armor;Light Radius;;-2;-2;att-demon;;200;250;half-freeze;;1;1;Sockets;3;;;Armor Class %;;140;200;Dmg % to Demons;;30;60;;;;;;;;;;;;;;;;;;;;;;;;;blackhades
Blackhand Key;45;38;Grave Wand;Class Skill Tab;6;1;1;dmg-to-mana;;20;20;Hitpoints;;50;50;Light Radius;;-2;-2;Cast Speed %;;30;30;res-fire;;37;37;Necro Skills;;2;2;Charges;150;30;13;;;;;;;;;;;;;;;;;blackhand
Blackhorn's Face;45;38;Death Mask;Lightning Thorns;;25;25;Slow Target %;;20;20;Prevent Heal;;1;1;abs-ltng;;20;20;res-ltng;;15;15;Armor Class %;;180;220;;;;;;;;;;;;;;;;;;;;;;;;;blackhorn
Blackleach Blade;46;39;Bill;Reduce Req %;;-25;-25;Hit-Skill;72;5;5;Light Radius;;-2;-2;Lifesteal;;8;8;dmg/lvl;10;;;Damage %;;100;140;;;;;;;;;;;;;;;;;;;;;;;;;blackleach
Blackoak Shield;62;56;Luna;dex/lvl;4;;;Armor Class %;;160;200;abs-cold/lvl;5;;;Gethit-Skill;72;4;5;Extra Durability;;45;45;hp/lvl;10;;;Increased Block %;;50;50;half-freeze;;1;1;;;;;;;;;;;;;;;;;blackoak
Blacktongue;31;23;Bastard Sword;dmg-pois;150;192;192;Prevent Heal;;1;1;Attack Rating;;50;50;res-pois;;50;50;Damage %;;50;60;*hp;;-10;-10;;;;;;;;;;;;;;;;;;;;;;;;;blacktongue
Bladebone;17;13;Double Axe;Dmg % to Undead;;100;100;att-undead;;40;40;Attack Speed %;;20;20;Armor Class;;20;20;fire-min;;8;8;fire-max;;12;12;Damage %;;30;50;;;;;;;;;;;;;;;;;;;;;bladebone
Blade of Ali Baba;40;31;Tulwar;Sockets;3;;;gold%/lvl;20;;;mag%/lvl;8;;;Mana Points;;15;15;Damage %;;60;120;Dexterity;;5;15;;;;;;;;;;;;;;;;;;;;;;;;;bladeofalibaba
Blastbark;33;25;Long War Bow;Damage %;;70;130;Strength;;5;5;Amazon Skills;;1;1;Manasteal;;3;3;Class Skill;16;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blastbark
Mosers Blessed Circle;34;27;Round Shield;All Resists;;25;25;Faster Block %;;25;25;Sockets;2;;;Armor Class %;;180;220;Increased Block %;;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blessedcircle
Blinkbats Form;14;10;Leather Armor;Armor vs Missile;;50;50;Faster Movement %;;10;10;Armor Class;;25;25;fire-min;;3;3;fire-max;;6;6;Hit Recovery %;;40;40;;;;;;;;;;;;;;;;;;;;;;;;;blinkbatsform
Blood Crescent;9;6;Scimitar;All Resists;;15;15;Damage %;;60;80;Hitpoints;;15;15;Light Radius;;4;4;Openwounds;;33;33;Attack Speed %;;15;15;Lifesteal;;15;15;;;;;;;;;;;;;;;;;;;;;bloodcrescent
Bloodfist;10;8;Heavy Gloves;dmg-min;;5;5;Hitpoints;;40;40;Hit Recovery %;;30;30;Armor Class;;10;10;Armor Class %;;10;20;Attack Speed %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;bloodfist
Bloodletter;35;26;Gladius;dmg-norm;;12;45;Attack Rating;;90;90;Lifesteal;;8;8;stamdrain;;10;10;Attack Speed %;;20;20;Damage %;;140;140;Class Skill;127;2;4;Class Skill;151;1;3;Extra Durability;;30;30;;;;;;;;;;;;;bloodletter
Bloodmoon;64;56;elegant blade;Damage %;;210;260;Lifesteal;;10;15;Charges;BloodGolem;9;15;Life per Kill;;7;13;Openwounds;;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bloodmoon
Bloodraven's Charge;73;66;matriarchal bow;Damage %;;180;230;Attack Bonus %;;200;300;explosivearrow;;13;13;Class Skill Tab;0;2;4;Charges;Revive;30;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bloodravenscharge
Bloodrise;17;13;Morning Star;Damage %;;120;120;Attack Bonus %;;50;50;Openwounds;;25;25;Light Radius;;2;2;Attack Speed %;;10;10;Class Skill;96;3;3;Lifesteal;;5;5;;;;;;;;;;;;;;;;;;;;;bloodrise
Bloodtree Stump;52;44;War Club;Crushing Blow;;50;50;Damage %;;180;220;All Resists;;20;20;Strength;;25;25;Class Skill Tab;13;2;2;Class Skill;129;3;3;Extra Durability;;40;40;;;;;;;;;;;;;;;;;;;;;bloodtree
Bloodthief;20;14;Brandistock;Openwounds;;35;35;Strength;;10;10;Lifesteal;;8;12;Hitpoints;;26;26;Damage %;;50;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bloodthief
Bane Ash;6;4;Short Staff;fire-min;;4;4;fire-max;;6;6;res-fire;;50;50;Mana Points;;30;30;Attack Speed %;;20;20;Damage %;;50;60;Class Skill;36;5;5;Class Skill;37;2;2;;;;;;;;;;;;;;;;;boneash
Boneflame;74;67;succubae skull;Armor Class %;;120;150;Faster Movement %;;20;20;Gethit-Skill;Terror;15;3;Necro Skills;;2;3;All Resists;;20;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;boneflame
Boneshade;78;73;lich wand;Necro Skills;;2;2;Cast Speed %;;25;25;Class Skill;Teeth;4;5;Class Skill;Bone Armor;4;5;Class Skill;Bone Spear;2;3;Class Skill;Bone Spirit;1;2;Class Skill;91;2;3;;;;;;;;;;;;;;;;;;;;;boneflame
Boneflesh;31;23;Plate Mail;Lifesteal;;5;5;Armor Class %;;100;120;Attack Rating;;35;35;Openwounds;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;boneflesh
Bonehew;67;59;ogre axe;Damage %;;270;320;Attack Speed %;;30;30;Charges;Corpse Explosion;30;14;Hit-Skill;Bone Spear;50;16;Prevent Heal;;1;1;Sockets;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;bonehew
Boneslayer Blade;46;39;Gothic Axe;att-und/lvl;10;;;dmg-und/lvl;20;;;Strength;;8;8;Attack Speed %;;20;20;Attack Bonus %;;35;35;Damage %;;180;220;Charges;101;200;20;Gethit-Skill;101;50;0;;;;;;;;;;;;;;;;;boneslayer
Bonesnap;28;21;Maul;Damage %;;200;300;Crushing Blow;;40;40;res-fire;;30;30;res-cold;;30;30;Dmg % to Undead;;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bonesnap
Brainhew;30;22;Great Axe;dmg-min;;14;14;Mana Points;;25;25;Light Radius;;4;4;Manasteal;;10;13;Damage %;;50;80;dmg-fire;;15;35;;;;;;;;;;;;;;;;;;;;;;;;;brainhew
Buriza-Do Kyanon;55;38;Balista;pierce;;100;100;Dexterity;;35;35;Armor Class;;75;150;dmg/lvl;20;;;Attack Speed %;;80;80;Damage %;;150;200;Freeze Duration;;3;3;dmg-cold;200;32;196;;;;;;;;;;;;;;;;;buriza
Butcher's Pupil;43;34;Cleaver;Deadly Strike;;35;35;Openwounds;;25;25;Damage %;;150;200;Indestructable;;1;1;Attack Speed %;;30;30;dmg-norm;;30;50;;;;;;;;;;;;;;;;;;;;;;;;;butcherspupil
Bverrit Keep;23;16;Tower Shield;Armor Class;;30;30;res-fire;;75;75;Strength;;5;5;red-mag;;5;5;Armor Class %;;80;120;Faster Block %;;10;10;Extra Durability;;80;100;;;;;;;;;;;;;;;;;;;;;bverritkeep
Carin Shard;40;31;Petrified Wand;hp/lvl;10;;;Cast Speed %;;10;10;mana/lvl;10;;;Hit Recovery %;;30;30;Replenish Life;;5;5;Necro Skills;;1;1;Class Skill Tab;8;2;2;;;;;;;;;;;;;;;;;;;;;carinshard
Cerebus' Bite;66;58;blood spirit;Armor Class %;;130;140;Class Skill Tab;16;2;4;Lifesteal;;7;10;Attack Bonus %;;60;120;Openwounds;;33;33;Class Skill;232;1;2;;;;;;;;;;;;;;;;;;;;;;;;;cerebus
Chance Guards;17;13;Chain Gloves;Gold Find %;;200;200;Magic Find %;;25;40;Attack Rating;;25;25;Armor Class;;15;15;Light Radius;;2;2;Armor Class %;;20;30;;;;;;;;;;;;;;;;;;;;;;;;;chanceguards
Chromatic Ire;40;31;Cedar Staff;Sorceress Skills;;3;3;All Resists;;20;40;Cast Speed %;;20;20;Lightning Thorns;;20;20;Hitpoint % Increase;;20;25;Class Skill;61;1;1;Class Skill;63;1;1;Class Skill;65;1;1;;;;;;;;;;;;;;;;;chromaticire
Cliffkiller;45;38;Long Siege Bow;Amazon Skills;;2;2;Damage %;;190;230;Armor vs Missile;;80;80;Knockback;;1;1;Hitpoints;;50;50;dmg-min;;5;10;dmg-max;;20;30;;;;;;;;;;;;;;;;;;;;;cliffkiller
Cloudcrack;49;42;Gothic Sword;Hit-Skill;121;6;7;dmg-ltng;;1;240;Armor Class;;30;30;Light Radius;;2;2;res-ltng-max;;10;10;Damage %;;150;200;Lightning Thorns;;15;15;Class Skill Tab;10;2;2;Class Skill Tab;11;2;2;;;;;;;;;;;;;cloudcrack
Coif of Glory;16;12;Helm;Lightning Thorns;;7;7;Blind Target;;1;1;res-ltng;;15;15;Armor vs Missile;;100;100;Armor Class;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;coifofglory
Coldkill;41;32;Hatchet;dmg-cold;50;40;40;res-cold;;15;15;res-cold-max;;15;15;Attack Speed %;;30;30;Hit-Skill;45;10;10;Gethit-Skill;44;10;5;Damage %;;150;190;;;;;;;;;;;;;;;;;;;;;coldkill
Coldsteel Eye;36;27;Cutlass;Blind Target;;1;1;Slow Target %;;30;30;Deadly Strike;;50;50;Extra Durability;;50;50;Damage %;;200;250;Attack Speed %;;20;20;Manasteal;;6;6;;;;;;;;;;;;;;;;;;;;;coldsteel
Crown of Thieves;53;45;Grand Crown;Dexterity;;25;25;Lifesteal;;9;12;Hitpoints;;50;50;Mana Points;;35;35;res-fire;;33;33;Armor Class %;;160;200;Gold Find %;;80;100;;;;;;;;;;;;;;;;;;;;;cot
Corpsemourn;58;51;Ornate Armor;Strength;;8;8;Vitality;;10;10;res-cold;;35;35;Gethit-Skill;76;6;2;Armor Class %;;150;180;dmg-fire;;12;36;Charges;74;40;5;;;;;;;;;;;;;;;;;;;;;corpsemourn
The Cranium Basher;79;80;Thunder Maul;Attack Speed %;;20;20;Indestructable;;1;1;Strength;;25;25;All Resists;;25;25;Crushing Blow;;75;75;dmg-norm;;20;20;Damage %;;200;240;Hit-Skill;66;4;1;*mana;;-30;-30;;;;;;;;;;;;;craniumbasher
Crainte Vomir;46;39;Espadon;Slow Target %;;35;35;dmg-ac;;-70;-70;Faster Movement %;;20;20;Reduce Dmg %;;10;10;Damage %;;160;200;Attack Speed %;;50;50;;;;;;;;;;;;;;;;;;;;;;;;;craintevomir
Cranebeak;66;58;war spike;Damage %;;240;300;dmg-ltng;;1;305;Attack Speed %;;40;40;reduce-ac;;25;25;Magic Find %;;20;50;Charges;Raven;15;8;;;;;;;;;;;;;;;;;;;;;;;;;cranebeak
Crow Caw;42;32;Tigulated Mail;Openwounds;;35;35;Armor Class %;;150;180;Dexterity;;15;15;Hit Recovery %;;15;15;Attack Speed %;;15;15;*charged;221;3;5;;;;;;;;;;;;;;;;;;;;;;;;;crowcaw
Crown of Ages;80;76;corona;Hit Recovery %;;30;30;All Resists;;20;30;All Skills;;1;1;Armor Class;;100;150;Indestructable;;1;1;Reduce Dmg %;;10;15;Armor Class %;;50;50;Sockets;;1;2;;;;;;;;;;;;;;;;;crownofages
Crushflange;10;8;Mace;Strength;;15;15;Knockback;;1;1;Light Radius;;2;2;res-fire;;50;50;Damage %;;50;60;Crushing Blow;;33;33;;;;;;;;;;;;;;;;;;;;;;;;;crushflange
Culwens Point;34;25;War Sword;All Skills;;1;1;res-pois-len;;50;50;Hit Recovery %;;20;20;Attack Speed %;;20;20;Attack Rating;;60;60;Damage %;;70;80;;;;;;;;;;;;;;;;;;;;;;;;;culwenspoint
Dark Clan Crusher;39;30;Cudgel;Druid Skills;;2;2;Dmg % to Demons;;200;200;att-demon;;200;200;Damage %;;195;195;Attack Bonus %;;20;25;demon-heal;;15;15;;;;;;;;;;;;;;;;;;;;;;;;;darkclan
Darkforge Spawn;67;59;bloodlord skull;Armor Class %;;140;180;Cast Speed %;;30;30;Mana %;;10;10;Class Skill Tab;6;1;3;Class Skill Tab;7;1;3;Class Skill Tab;8;1;3;;;;;;;;;;;;;;;;;;;;;;;;;darkforge
Darkglow;16;12;Ring Mail;Attack Rating;;20;20;res-all-max;;5;5;Light Radius;;3;3;Armor vs Melee;;50;50;All Resists;;10;10;Armor Class %;;70;100;;;;;;;;;;;;;;;;;;;;;;;;;darkglow
Darksight Helm;43;33;Basinet;Light Radius;;-4;-4;ac/lvl;16;;;Cannot be Frozen;;1;1;Manasteal;;5;5;Gethit-Skill;71;6;3;Charges;264;30;5;res-fire;;20;40;;;;;;;;;;;;;;;;;;;;;darksighthelm
Death Cleaver;72;65;berserker axe;Damage %;;230;280;Deadly Strike;;66;66;reduce-ac;;33;33;Attack Speed %;;40;40;Life per Kill;;6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dcleaver
Deathbit;48;41;battle dart;Deadly Strike;;40;40;Damage %;;130;180;Attack Rating;;200;450;Lifesteal;;7;9;Manasteal;;4;6;rep-quant;25;;;;;;;;;;;;;;;;;;;;;;;;;;;deathbit
Deathspade;10;8;Axe;Blind Target;;1;1;dmg-min;;8;8;Attack Bonus %;;15;15;Mana per Kill;;4;4;Damage %;;60;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;deathspade
Deaths's Web;68;61;unearthed wand;All Skills;;2;2;pierce-pois;;40;50;Life per Kill;;7;12;Mana per Kill;;7;12;Class Skill Tab;7;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;deathsweb
Demonlimb;66;58;tyrant club;Damage %;;180;230;dmg-fire;;222;333;Lifesteal;;7;13;Charges;239;20;25;rep-dur;5;;;Dmg % to Demons;;123;123;res-fire;;15;20;;;;;;;;;;;;;;;;;;;;;demonlimb
Demon Machine;53;45;Chu-Ko-Nu;Armor Class;;321;321;Mana Points;;36;36;pierce;;66;66;explosivearrow;;6;6;dmg-max;;66;66;Damage %;;123;123;Attack Rating;;632;632;;;;;;;;;;;;;;;;;;;;;demonmachine
Demon's Arch;70;63;balrog spear;Damage %;;160;210;dmg-fire;;232;323;Lifesteal;;6;12;rep-quant;30;;;Attack Speed %;;30;30;dmg-ltng;;23;333;;;;;;;;;;;;;;;;;;;;;;;;;demonsarch
Demonhorn's Edge;64;56;destroyer helm;Armor Class %;;120;160;Attack Speed %;;10;10;Lifesteal;;3;6;Thorns;;55;77;Class Skill Tab;12;1;3;Class Skill Tab;13;1;3;Class Skill Tab;14;1;3;;;;;;;;;;;;;;;;;;;;;demonhorn
Dimoaks Hew;9;7;Bardiche;Dexterity;;15;15;Damage %;;100;100;Attack Speed %;;20;20;Armor Class;;-8;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dimoakshew
Djinnslayer;68;60;ataghan;Damage %;;190;240;dmg-fire;;250;500;Dmg % to Demons;;100;150;att-demon;;200;300;abs-ltng;;3;7;Manasteal;;3;6;Sockets;;1;2;;;;;;;;;;;;;;;;;;;;;djinn
Doombringer;69;64;Champion Sword;Hitpoint % Increase;;20;20;Damage %;;180;250;Attack Bonus %;;40;40;Indestructable;;1;1;dmg-norm;;30;100;Hit-Skill;72;8;3;Lifesteal;;5;7;;;;;;;;;;;;;;;;;;;;;doombringer
Doomslinger;33;25;Repeating Crossbow;Amazon Skills;;1;1;pierce;;35;35;Attack Speed %;;30;30;Hitpoints;;15;15;Damage %;;60;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doomslinger
Dracul's Grasp;78;70;vampirebone gloves;Armor Class %;;90;120;Lifesteal;;7;10;Openwounds;;25;25;Hit-Skill;Life Tap;5;10;Life per Kill;;5;10;Strength;;10;15;;;;;;;;;;;;;;;;;;;;;;;;;draculsgrasp
Dragonscale;78;74;zakarum shield;Armor Class %;;170;200;abs-fire%;;10;20;res-fire-max;;5;5;Strength;;15;25;dmg-fire;;211;371;Other Skill;Hydra;10;10;extra-fire;;15;15;;;;;;;;;;;;;;;;;;;;;dragon
Verdugo's Hearty Cord;66;58;mithril coil;Armor Class %;;90;140;Vitality;;30;40;Stamina Points;;100;120;Hit Recovery %;;10;10;Reduce Dmg %;;10;15;Replenish Life;;10;13;;;;;;;;;;;;;;;;;;;;;;;;;dungos
Duriel's Shell;45;38;Cuirass;Strength;;15;15;ac/lvl;10;;;hp/lvl;8;;;Armor Class %;;160;200;res-fire;;20;20;res-ltng;;20;20;res-pois;;20;20;res-cold;;50;50;Cannot be Frozen;;1;1;Extra Durability;;100;100;;;;;;;;;durielsshell
Duskdeep;20;14;Full Helm;Light Radius;;-2;-2;All Resists;;15;15;Reduce Dmg;;7;7;dmg-max;;8;8;Armor Class;;10;20;Armor Class %;;30;50;;;;;;;;;;;;;;;;;;;;;;;;;duskeep
Eaglehorn;71;64;Crusader Bow;Ignore Armor;;1;1;att/lvl;12;;;dmg%/lvl;16;;;Damage %;;200;200;Amazon Skills;;1;1;Dexterity;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;eaglehorn
Earthshaker;47;40;Battle Hammer;Hit-Skill;234;5;7;Knockback;;1;1;Attack Speed %;;30;30;Damage %;;180;180;Blind Target;;1;1;Class Skill Tab;17;3;3;Extra Durability;;50;50;;;;;;;;;;;;;;;;;;;;;earthshaker
Earthshifter;71;64;thunder maul;Damage %;;250;300;Hit-Skill;Eruption;25;14;Crushing Blow;;33;33;Attack Speed %;;10;10;Charges;Volcano;30;14;Class Skill Tab;17;7;7;Cast Speed %;;10;10;;;;;;;;;;;;;;;;;;;;;earthshifter
Endlesshail;41;32;Double Bow;res-cold;;35;35;Mana Points;;40;40;Armor vs Missile;;50;50;Class Skill;26;3;5;Damage %;;180;220;dmg-cold;75;15;30;;;;;;;;;;;;;;;;;;;;;;;;;endlesshail
Eschuta's temper;74;67;eldritch orb;Sorceress Skills;;1;3;Cast Speed %;;40;40;extra-fire;;10;20;extra-ltng;;10;20;Energy;;20;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eschuta
Ethereal Edge;76;68;silver-edged axe;Damage %;;150;180;Attack Speed %;;25;25;abs-fire;;10;12;Dmg % to Demons;;150;200;demon-heal;;5;10;Attack Rating;;270;350;ethereal;;1;1;Indestructable;;1;1;;;;;;;;;;;;;;;;;etherealedge
Executioner's Justice;77;69;glorious axe;Damage %;;240;290;Crushing Blow;;25;25;reduce-ac;;33;33;kill-skill;Decrepify;50;6;Attack Speed %;;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;executionersjustice
The Face of Horror;24;17;Mask;howl;;64;64;Strength;;20;20;All Resists;;10;10;Dmg % to Undead;;50;50;Armor Class;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;faceofhorror
Death's Fathom;75;68;dimensional shard;Sorceress Skills;;3;3;extra-cold;;15;30;Cast Speed %;;20;20;res-fire;;25;40;res-ltng;;25;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fathom
Fechmars Axe;9;7;Large Axe;Damage %;;70;90;Freeze Duration;;3;3;res-cold;;50;50;Light Radius;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fechmar
Felloak;3;3;Club;res-ltng;;60;60;res-fire;;20;20;Knockback;;1;1;fire-min;;6;6;fire-max;;8;8;Damage %;;70;80;;;;;;;;;;;;;;;;;;;;;;;;;felloak
The Fetid Sprinkler;43;33;Holy Water Sprinkler;Paladin Skills;;2;2;Hit-Skill;87;5;1;Hit-Skill;91;10;1;dmg-pois;100;409;409;Damage %;;160;190;Attack Rating;;150;200;dmg-norm;;15;25;;;;;;;;;;;;;;;;;;;;;fetid
Firelizard's Talons;69;62;feral claws;Damage %;;200;270;Attack Speed %;;15;15;Class Skill Tab;20;1;3;dmg-fire;;236;480;res-fire;;40;70;Class Skill;Wake of Fire Sentry;1;2;Class Skill;Venomous Retaliation;1;2;;;;;;;;;;;;;;;;;;;;;fireliz
Flamebellow;73;66;balrog blade;Damage %;;170;240;dmg-fire;;233;482;fireskill;;3;3;abs-fire%;;20;30;Hit-Skill;Firestorm;12;16;Strength;;10;20;Vitality;;5;10;Other Skill;62;12;18;;;;;;;;;;;;;;;;;flamebellow
Skin of the Flayerd One;34;27;Demonhide Armor;rep-dur;10;;;Replenish Life;;15;25;Extra Durability;;30;30;Lifesteal;;5;7;Armor Class %;;150;190;Thorns;;15;15;;;;;;;;;;;;;;;;;;;;;;;;;flayedoneskin
Fleshrender;43;33;Barbed Club;Openwounds;;25;25;Prevent Heal;;1;1;Crushing Blow;;20;20;Deadly Strike;;20;20;dmg-norm;;35;50;Damage %;;130;200;Druid Skills;;1;1;Class Skill Tab;16;2;2;Extra Durability;;20;20;;;;;;;;;;;;;fleshrender
Fleshripper;70;63;fanged knife;Damage %;;200;300;reduce-ac;;50;50;Prevent Heal;;1;1;Crushing Blow;;25;25;Openwounds;;50;50;Deadly Strike;;33;33;Slow Target %;;20;20;;;;;;;;;;;;;;;;;;;;;fleshripper
Frostburn;27;24;Gauntlets;Armor Class;;30;30;Damage %;;5;5;Mana %;;40;40;dmg-cold;50;1;6;Armor Class %;;10;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;frostburn
Frostwind;72;65;cryptic sword;Damage %;;180;230;Freeze Duration;;4;4;half-freeze;;1;1;dmg-cold;150;237;486;Attack Speed %;;25;25;abs-cold%;;7;15;Other Skill;Ice Blast;7;14;;;;;;;;;;;;;;;;;;;;;frostwind
Gargoyle's Bite;72;65;winged harpoon;Damage %;;180;230;rep-quant;30;;;dmg-pois;250;300;300;Lifesteal;;9;15;Charges;Plague Javelin;60;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gargoylesbite
