name;type;slot;mindam;maxdam;2handmindam;2handmaxdam;reqstr;reqdex;imagefile;speed;spawnable;mindam;maxdam;1or2handed;2handed;2handmindam;2handmaxdam;minmisdam;maxmisdam;;rangeadder;speed;StrBonus;DexBonus;reqstr;reqdex;durability;nodurability;level;levelreq;cost;gamble cost;magic lvl;auto prefix;OpenBetaGfx;normcode;ubercode;ultracode;wclass;2handedwclass;component;hit class;invwidth;invheight;stackable;minstack;maxstack;spawnstack;flippyfile;invfile;uniqueinvfile;setinvfile;hasinv;gemsockets;gemapplytype;special;useable;dropsound;dropsfxframe;usesound;unique;transparent;transtbl;quivered;lightradius;belt;quest;questdiffcheck;missiletype;durwarning;qntwarning;gemoffset;bitfield1;CharsiMin;CharsiMax;CharsiMagicMin;CharsiMagicMax;CharsiMagicLvl;GheedMin;GheedMax;GheedMagicMin;GheedMagicMax;GheedMagicLvl;AkaraMin;AkaraMax;AkaraMagicMin;AkaraMagicMax;AkaraMagicLvl;FaraMin;FaraMax;FaraMagicMin;FaraMagicMax;FaraMagicLvl;LysanderMin;LysanderMax;LysanderMagicMin;LysanderMagicMax;LysanderMagicLvl;DrognanMin;DrognanMax;DrognanMagicMin;DrognanMagicMax;DrognanMagicLvl;HraltiMin;HraltiMax;HraltiMagicMin;HraltiMagicMax;HratliMagicLvl;AlkorMin;AlkorMax;AlkorMagicMin;AlkorMagicMax;AlkorMagicLvl;OrmusMin;OrmusMax;OrmusMagicMin;OrmusMagicMax;OrmusMagicLvl;ElzixMin;ElzixMax;ElzixMagicMin;ElzixMagicMax;ElzixMagicLvl;AshearaMin;AshearaMax;AshearaMagicMin;AshearaMagicMax;AshearaMagicLvl;CainMin;CainMax;CainMagicMin;CainMagicMax;CainMagicLvl;HalbuMin;HalbuMax;HalbuMagicMin;HalbuMagicMax;HalbuMagicLvl;JamellaMin;JamellaMax;JamellaMagicMin;JamellaMagicMax;JamellaMagicLvl;LarzukMin;LarzukMax;LarzukMagicMin;LarzukMagicMax;LarzukMagicLvl;DrehyaMin;DrehyaMax;DrehyaMagicMin;DrehyaMagicMax;DrehyaMagicLvl;MalahMin;MalahMax;MalahMagicMin;MalahMagicMax;MalahMagicLvl;Source Art;Game Art;Transform;InvTrans;SkipName;NightmareUpgrade;HellUpgrade
Wand;wand;1h;1;2;;;0;0;wand.gif;;1;1;2;;;;;;;;;;100;25;0;0;15;;2;1;243;1955;1;308;wnd;wnd;9wn;7wn;1hs;1hs;5;1hss;1;2;;;;;flpwnd;invwnd;invwndu;invwndu;1;1;0;magically charged;0;item_wand;12;item_wand;0;0;5;0;0;0;;;0;7;0;0;5;;;;;255;;;;;255;1;2;1;3;5;;;;;255;;;;;255;;;1;2;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;3;20;;;5;8;0;9wn;7wn
Yew Wand;wand;1h;1;3;;;0;0;yewwand.gif;10;1;1;3;;;;;;;;;10;100;25;0;0;15;;9;8;882;8720;1;308;wnd;ywn;9yw;7yw;1hs;1hs;5;1hss;1;2;;;;;flpywn;invywn;;;1;1;0;magically charged;0;item_wand;12;item_wand;0;0;5;0;0;0;;;0;7;0;0;5;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;3;15;3;5;5;9;15;;;;;255;;;;;255;2;3;2;3;20;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;2;3;2;3;20;;;;;255;;;5;8;0;9yw;7yw
Bone Wand;wand;1h;2;3;;;0;0;bonewand.gif;-20;1;2;3;;;;;;;;;-20;100;25;0;0;15;;14;13;1531;17414;1;308;wnd;bwn;9bw;7bw;1hs;1hs;5;1hss;1;2;;;;;flpbwn;invbwn;invbwnu;invbwnu;1;2;0;magically charged;0;item_wand;12;item_wand;0;0;5;0;0;0;;;0;7;0;0;5;;;;;255;;;;;255;;;;;255;;;;;255;1;3;1;2;15;1;3;1;3;15;;;;;255;;;;;255;3;5;5;7;20;;;;;255;;;;;255;;;;;255;;;;;255;3;4;2;3;20;;;;;255;3;5;5;7;20;;;;;255;;;1;2;0;9bw;7bw
Grim Wand;wand;1h;2;5;;;0;0;grimwand.gif;;1;2;5;;;;;;;;;;100;25;0;0;15;;20;19;2478;35024;1;308;wnd;gwn;9gw;7gw;1hs;1hs;5;1hss;1;2;;;;;flpgwn;invgwn;;;1;2;0;magically charged;0;item_wand;12;item_wand;0;0;5;0;0;0;;;0;7;0;0;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;2;20;;;;;255;1;2;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;1;3;1;2;20;;;;;255;1;2;1;1;20;;;;;255;;;1;2;0;9gw;7gw
Club;club;1h;1;2;;;0;0;club.gif;-10;1;1;2;;;;;;;;;-10;100;25;0;0;24;;1;0;39;1516;;308;clb;clb;9cl;7cl;1hs;1hs;5;club;1;3;;;;;flpclb;invclb;invclbu;invclbu;1;2;0;;0;item_staff;12;item_staff;0;0;5;0;0;0;;;0;7;0;0;1;1;1;1;2;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;2;20;;;;;255;;;;;255;;;5;2;0;9cl;7cl
Scepter;scep;1h;2;5;;;21;0;scepter.gif;;1;2;5;;;;;;;;;;100;25;21;0;50;;2;1;413;2525;;308;mac;scp;9sc;7sc;1hs;1hs;5;club;1;3;;;;;flpscp;invscp;;;1;2;0;magically charged;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;1;1;1;2;5;;;;;255;;;;;255;;;;;255;;;;;255;2;3;3;5;15;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;2;20;1;1;1;1;20;;;;;255;;;2;2;0;9sc;7sc
Grand Scepter;scep;1h;3;7;;;31;0;grandscepter.gif;10;1;3;7;;;;;;;;1;10;100;25;31;0;60;;11;10;1311;13318;;308;mac;gsc;9qs;7qs;1hs;1hs;5;club;1;3;;;;;flpgsc;invgsc;;;1;3;0;magically charged;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;1;1;2;15;;;;;255;1;3;1;3;15;;;;;255;;;;;255;3;5;3;5;20;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;1;20;;;;;255;3;5;3;5;20;;;;;255;;;2;2;0;9qs;7qs
War Scepter;scep;1h;4;7;;;48;0;warscepter.gif;-10;1;4;7;;;;;;;;1;-10;100;25;48;0;70;;16;15;2746;30892;;308;mac;wsp;9ws;7ws;1hs;1hs;5;club;2;3;;;;;flpwsp;invwsp;;;1;5;0;magically charged;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;2;1;1;15;;;;;255;;;;;255;;;;;255;;;;;255;1;3;1;3;20;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;2;20;;;;;255;1;3;1;3;20;;;;;255;;;2;2;0;9ws;7ws
Spiked Club;club;1h;2;3;;;0;0;spikedclub.gif;;1;2;3;;;;;;;;1;;100;25;0;0;36;;3;2;268;2700;;308;clb;spc;9sp;7sp;1hs;1hs;5;1hsl;1;3;;;;;flpspc;invspc;invspcu;invspcu;1;2;0;;0;item_staff;12;item_staff;0;0;5;0;0;0;;;0;7;0;0;1;1;2;1;1;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;1;20;;;;;255;;;;;255;;;2;2;0;9sp;7sp
Mace;mace;1h;2;4;;;23;0;mace.gif;;1;2;4;;;;;;;;;;100;25;23;0;60;;6;5;548;5102;;308;mac;mac;9ma;7ma;1hs;1hs;5;1hsl;1;3;;;;;flpmac;invmac;;;1;2;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;1;1;1;2;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;2;20;;;;;255;;;;;255;;;2;2;0;9ma;7ma
Morning Star;mace;1h;3;6;;;31;0;morningstar.gif;10;1;3;6;;;;;;;;1;10;100;25;31;0;72;;10;9;998;9986;;308;mac;mst;9mt;7mt;1hs;1hs;5;1hsl;1;3;;;;;flpmst;invmst;invmstu;invmstu;1;3;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;1;1;1;2;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;1;2;0;9mt;7mt
Flail;mace;1h;1;9;;;35;30;flail.gif;-10;1;1;9;;;;;;;;2;-10;100;25;35;30;30;;14;13;1668;19414;;308;mac;fla;9fl;7fl;1hs;1hs;5;1hsl;2;3;;;;;flpfla;invfla;;;1;5;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;1;1;2;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;2;2;0;9fl;7fl
War Hammer;hamm;1h;8;11;;;46;0;warhammer.gif;20;1;8;11;;;;;;;;;20;110;25;46;0;55;;19;18;2459;33513;;308;mac;whm;9wh;7wh;1hs;1hs;5;1hsl;2;3;;;;;flpwhm;invwhm;;;1;4;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;178;7;0;0;3;;;;;255;;;;;255;;;;;255;1;2;1;1;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;2;2;0;9wh;7wh
Maul;hamm;2h;;;11;17;60;0;maul.gif;10;1;;;;1;11;17;;;;1;10;110;25;60;0;60;;16;15;1972;24035;;308;mau;mau;9m9;7m7;stf;stf;5;2hsl;2;4;;;;;flpmau;invmau;invmauu;invmauu;1;6;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;1;1;2;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;2;2;0;9m9;7m7
Great Maul;hamm;2h;;;14;22;87;0;greatmaul.gif;20;1;;;;1;14;22;;;;2;20;110;25;87;0;60;;24;23;3799;60690;;308;mau;gma;9gm;7gm;stf;stf;5;2hsl;2;3;;;;;flpgma;invgma;invgma;invgma;1;6;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;2;20;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;2;2;0;9gm;7gm
Short Sword;swor;1h;1;3;;;0;0;shortsword.gif;;1;1;3;;;;;;;;;;100;25;0;0;24;;1;0;86;1536;;308;ssd;ssd;9ss;7ss;1hs;1hs;5;1hsl;1;3;;;;;flpssd;invssd;;;1;2;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;1;1;1;2;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;2;20;;;;;255;;;;;255;;;1;2;0;9ss;7ss
Scimitar;swor;1h;1;2;;;0;18;scimitar.gif;-20;1;1;2;;;;;;;;;-20;100;25;0;18;22;;4;3;324;3185;;308;scm;scm;9sm;7sm;1hs;1hs;5;1hsl;1;3;;;;;flpscm;invscm;invscmu;invscmu;1;2;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;1;2;1;1;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;1;20;;;;;255;;;;;255;;;1;2;0;9sm;7sm
Saber;swor;1h;2;3;;;21;21;saber.gif;-10;1;2;3;;;;;;;;;-10;100;25;21;21;32;;6;5;551;5114;;308;scm;sbr;9sb;7sb;1hs;1hs;5;1hsl;1;3;;;;;flpsbr;invsbr;inv9sbu;inv9sbu;1;2;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;1;1;1;1;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;1;2;0;9sb;7sb
Falchion;swor;1h;4;7;;;28;0;falchion.gif;20;1;4;7;;;;;;;;;20;100;25;28;0;32;;8;7;809;7757;;308;scm;flc;9fc;7fc;1hs;1hs;5;1hsl;1;3;;;;;flpflc;invflc;invflcu;invflcu;1;2;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;1;1;1;1;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;1;2;0;9fc;7fc
Crystal Sword;swor;1h;2;6;;;37;0;crystalsword.gif;;1;2;6;;;;;;;;1;;100;25;37;0;20;;8;7;2513;15699;;308;ssd;crs;9cr;7cr;1hs;1hs;5;1hsl;2;3;;;;;flpcrs;invcrs;invcrsu;invcrsu;1;6;0;;0;item_sword;12;item_sword;0;0;5;0;5;0;;;0;7;0;0;1;;;;;255;1;1;1;2;5;;;;;255;;;;;255;;;;;255;1;1;1;2;15;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;1;1;1;1;20;;;;;255;;;1;8;0;9cr;7cr
Broad Sword;swor;1h;3;5;;;41;0;broadsword.gif;;1;3;5;;;;;;;;;;100;25;41;0;32;;11;10;1216;12718;;308;ssd;bsd;9bs;7bs;1hs;1hs;5;1hsl;2;3;;;;;flpbsd;invbsd;invbsdu;invbsdu;1;4;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;1;1;2;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;1;2;0;9bs;7bs
Long Sword;swor;1h;2;8;;;47;33;longsword.gif;-10;1;2;8;;;;;;;;1;-10;100;25;47;33;44;;15;14;1796;21450;;308;ssd;lsd;9ls;7ls;1hs;1hs;5;1hsl;2;3;;;;;flplsd;invlsd;invlsdu;invlsdu;1;4;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;2;1;1;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;2;20;;;;;255;1;1;1;2;20;;;;;255;;;;;255;;;1;2;0;9ls;7ls
War Sword;swor;1h;3;8;;;62;39;warsword.gif;;1;3;8;;;;;;;;1;;100;25;62;39;44;;20;19;2361;34960;;308;ssd;wsd;9wd;7wd;1hs;1hs;5;1hsl;1;3;;;;;flpwsd;invwsd;;;1;3;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;2;;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;3;20;;;;;255;1;2;1;3;20;;;;;255;;;;;255;;;1;2;0;9wd;7wd
Two-Handed Sword;swor;1h/2h;1;4;3;7;30;23;twohandedsword.gif;;1;1;4;1;1;3;7;;;;2;;100;25;30;23;44;;8;7;761;6970;;308;clm;2hs;92h;72h;1hs;2hs;5;2hss;1;4;;;;;flp2hs;inv2hs;inv2hsu;inv2hsu;1;3;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;1;1;1;1;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;1;2;0;92h;72h
Claymore;swor;1h/2h;2;5;5;11;40;0;claymore.gif;10;1;2;5;1;1;5;11;;;;2;10;100;25;40;0;50;;13;12;1491;16227;;308;clm;clm;9cm;7cm;1hs;2hs;5;2hss;1;4;;;;;flpclm;invclm;;;1;4;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;2;1;1;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;1;2;0;9cm;7cm
Giant Sword;swor;1h/2h;2;6;4;11;49;30;giantsword.gif;;1;2;6;1;1;4;11;;;;2;;100;25;49;30;50;;16;15;1726;21820;;308;clm;gis;9gs;7gs;1hs;2hs;5;2hss;1;4;;;;;flpgis;invgis;invgisu;invgisu;1;4;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;1;1;2;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;1;2;0;9gs;7gs
Bastard Sword;swor;1h/2h;3;8;8;11;54;0;bastrardsword.gif;10;1;3;8;1;1;8;11;;;;1;10;100;25;54;0;40;;18;17;2329;30902;;308;clm;bsw;9b9;7b7;1hs;2hs;5;2hss;1;4;;;;;flpbsw;invbsw;invbswu;invbswu;1;4;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;2;1;1;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;1;2;0;9b9;7b7
Flamberge;swor;1h/2h;4;6;5;10;61;43;flamberge.gif;-10;1;4;6;1;1;5;10;;;;2;-10;100;25;61;43;50;;20;19;2835;40400;;308;clm;flb;9fb;7fb;1hs;2hs;5;2hss;2;4;;;;;flpflb;invflb;;;1;5;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;2;20;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;2;20;;;;;255;;;;;255;;;1;2;0;9fb;7fb
